127.0.0.1 - - [23/May/2015:23:12:36 -0300] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:38 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:38 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:38 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:38 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:38 -0300] "GET /ProyectoGestionEduc-Web/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 200 3590
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/css/font-awesome.css HTTP/1.1" 200 26651
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/css/bootstrap.css HTTP/1.1" 200 137067
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/js/jquery-2.1.3.min.js HTTP/1.1" 200 84320
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/fonts/OpenSans-Regular.ttf HTTP/1.1" 200 217360
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/images/user.png HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /ProyectoGestionEduc-Web/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [23/May/2015:23:12:47 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [23/May/2015:23:14:32 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [23/May/2015:23:14:34 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:14:34 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:14:34 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:14:34 -0300] "GET /ProyectoGestionEduc-Web/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:14:34 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [23/May/2015:23:25:19 -0300] "GET /ProyectoGestionEduc-Web/MorososMatricula.jsp HTTP/1.1" 200 1754
0:0:0:0:0:0:0:1 - - [23/May/2015:23:25:20 -0300] "GET /ProyectoGestionEduc-Web/css/estiloDirector.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2015:23:27:01 -0300] "GET /ProyectoGestionEduc-Web/index.jsp HTTP/1.1" 200 3427
