0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:42 -0300] "GET /ProyectoGestionEduc-Web/css/font-awesome.css HTTP/1.1" 404 1049
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:42 -0300] "GET /ProyectoGestionEduc-Web/js/jquery-2.1.3.min.js HTTP/1.1" 404 1053
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:42 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 404 1033
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:42 -0300] "GET /ProyectoGestionEduc-Web/images/user.png HTTP/1.1" 404 1039
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/ HTTP/1.1" 200 3409
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/css/estilo.css HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/css/bootstrap.css HTTP/1.1" 200 137067
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/css/font-awesome.css HTTP/1.1" 200 26651
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/css/fonts.css HTTP/1.1" 200 178
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/js/codigo.js HTTP/1.1" 200 3590
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/images/user.png HTTP/1.1" 200 6087
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/js/jquery-2.1.3.min.js HTTP/1.1" 200 84320
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/fonts/fontawesome-webfont.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2015:23:21:53 -0300] "GET /ProyectoGestionEduc-Web/fonts/OpenSans-Regular.ttf HTTP/1.1" 304 -
